file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,121,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,122,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,20
style.css,123,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,18
style.css,124,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,11
style.css,125,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,22
style.css,126,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,127,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,128,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,11
style.css,129,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,23
style.css,130,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,10
style.css,131,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,21
style.css,132,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,133,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,134,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,14
style.css,135,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,20
style.css,136,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,16
style.css,137,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,138,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,139,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,19
style.css,140,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,17
style.css,141,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,142,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,143,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,15
style.css,144,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,16
style.css,145,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,16
style.css,146,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,23
style.css,147,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,148,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,0
style.css,149,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,18
style.css,150,css,7533cf77,Viki Shi,2025-04-28,23:17:48,-07:00,2025-04-28T23:17:48-07:00,0,21
